team
All Boys
Aldosivi
Argentinos
Arsenal
Atl Rafaela
Atl Tucuman
Banfield
Belgrano
Boca Juniors
Chacarita
Cipolletti
Colon
Crucero (M)
Def y Justicia
Dep Mandiyu (C)
Estudiantes (LP)
Ferro
Gimnasia (LP)
Godoy Cruz
Huracan
Independiente
Juv. Alianza (SJ)
Lanus
Newells
Nueva Chicago
Olimpo
Patronato
Platense
Quilmes
Racing Club
River Plate
Rosario Central
San Lorenzo
San Lorenzo (MdP)
San Martin (M)
San Martin (T)
Sarmiento (J)
Talleres (C)
Temperley
Tigre
Union
Velez
Altos Hornos Zapla
Atl Ledesma (J)
Atlanta
Central Norte (S)
Desamparados
Estudiantes (BA)
Gimnasia (M)
Ind Rivadavia
Instituto
Juv. Antoniana
San Martin (SJ)
San Telmo
Almagro
Def. de Belgrano
Dep. Español
Dep. Moron
Huracan (TA)
Los Andes
Talleres (RdE)
Arg de Firmat
Dep. Roca
Estudiantes (RC)
Huracan (SR)
Jorge Newbery (J)
Kimberley (MdP)
Racing (C)
Alvarado
Loma Negra
Andino (LR)
Atl. Concepcion (T)
Central Cba (R)
Central Cba (SdE)
Chaco For Ever
Dep. Armenio
Don Orione (CH)
Estudiantes (SdE)
Gimnasia (J)
Gimnasia (S)
Huracan (C)
Huracan (CR)
Sp. Italiano
Tiro Federal (R)
Juv. Unida (SL)
Renato Cesarini (R)
Bartolome Mitre (M)
Guarani (M)
Huracan (IW)
Circulo Dep. (O)
Sp. Guzman (T)
Huracan (LH)
Santamarina
Sarmiento (R)
Gimnasia (CdU)
